subj,trial,item,count,n,prob
2,1,related-late,3,3,1
2,1,related-early,0,3,0
2,2,baseline,1,2,0.5
2,2,related,1,2,0.5
2,3,baseline,1,2,0.5
2,3,related,1,2,0.5
2,4,repeated,1,1,1
2,4,related,0,1,0
2,5,repeated,1,1,1
2,5,related,0,1,0
2,6,baseline,0,4,0
2,6,repeated,4,4,1
2,7,baseline,0,1,0
2,7,baseline-foil,1,1,1
2,8,baseline,1,1,1
2,8,baseline-foil,0,1,0
2,9,short,4,4,1
2,9,short-foil,0,4,0
2,10,single,2,6,0.333
2,10,single-foil,4,6,0.667
2,11,baseline-foil,3,4,0.75
2,11,short-foil,1,4,0.25
2,12,baseline,2,4,0.5
2,12,short,2,4,0.5
2,13,baseline,3,4,0.75
2,13,single,1,4,0.25
3,1,related-late,2,3,0.667
3,1,related-early,1,3,0.333
3,2,baseline,1,2,0.5
3,2,related,1,2,0.5
3,3,baseline,2,2,1
3,3,related,0,2,0
3,4,repeated,0,1,0
3,4,related,1,1,1
3,5,repeated,1,1,1
3,5,related,0,1,0
3,6,baseline,2,4,0.5
3,6,repeated,2,4,0.5
3,7,baseline,0,1,0
3,7,baseline-foil,1,1,1
3,8,baseline,0,1,0
3,8,baseline-foil,1,1,1
3,9,short,3,4,0.75
3,9,short-foil,1,4,0.25
3,10,single,6,6,1
3,10,single-foil,0,6,0
3,11,baseline-foil,0,4,0
3,11,short-foil,4,4,1
3,12,baseline,1,4,0.25
3,12,short,3,4,0.75
3,13,baseline,2,4,0.5
3,13,single,2,4,0.5
4,1,related-late,2,3,0.667
4,1,related-early,1,3,0.333
4,2,baseline,1,2,0.5
4,2,related,1,2,0.5
4,3,baseline,1,2,0.5
4,3,related,1,2,0.5
4,4,repeated,0,1,0
4,4,related,1,1,1
4,5,repeated,0,1,0
4,5,related,1,1,1
4,6,baseline,3,4,0.75
4,6,repeated,1,4,0.25
4,7,baseline,1,1,1
4,7,baseline-foil,0,1,0
4,8,baseline,1,1,1
4,8,baseline-foil,0,1,0
4,9,short,3,4,0.75
4,9,short-foil,1,4,0.25
4,10,single,4,6,0.667
4,10,single-foil,2,6,0.333
4,11,baseline-foil,4,4,1
4,11,short-foil,0,4,0
4,12,baseline,4,4,1
4,12,short,0,4,0
4,13,baseline,2,4,0.5
4,13,single,2,4,0.5
7,1,related-late,3,3,1
7,1,related-early,0,3,0
7,2,baseline,0,2,0
7,2,related,2,2,1
7,3,baseline,0,2,0
7,3,related,2,2,1
7,4,repeated,1,1,1
7,4,related,0,1,0
7,5,repeated,1,1,1
7,5,related,0,1,0
7,6,baseline,1,4,0.25
7,6,repeated,3,4,0.75
7,7,baseline,1,1,1
7,7,baseline-foil,0,1,0
7,8,baseline,1,1,1
7,8,baseline-foil,0,1,0
7,9,short,4,4,1
7,9,short-foil,0,4,0
7,10,single,6,6,1
7,10,single-foil,0,6,0
7,11,baseline-foil,2,4,0.5
7,11,short-foil,2,4,0.5
7,12,baseline,1,4,0.25
7,12,short,3,4,0.75
7,13,baseline,3,4,0.75
7,13,single,1,4,0.25
8,1,related-late,3,3,1
8,1,related-early,0,3,0
8,2,baseline,1,2,0.5
8,2,related,1,2,0.5
8,3,baseline,0,2,0
8,3,related,2,2,1
8,4,repeated,1,1,1
8,4,related,0,1,0
8,5,repeated,0,1,0
8,5,related,1,1,1
8,6,baseline,2,4,0.5
8,6,repeated,2,4,0.5
8,7,baseline,1,1,1
8,7,baseline-foil,0,1,0
8,8,baseline,0,1,0
8,8,baseline-foil,1,1,1
8,9,short,3,4,0.75
8,9,short-foil,1,4,0.25
8,10,single,6,6,1
8,10,single-foil,0,6,0
8,11,baseline-foil,3,4,0.75
8,11,short-foil,1,4,0.25
8,12,baseline,2,4,0.5
8,12,short,2,4,0.5
8,13,baseline,3,4,0.75
8,13,single,1,4,0.25
9,1,related-late,0,3,0
9,1,related-early,3,3,1
9,2,baseline,1,2,0.5
9,2,related,1,2,0.5
9,3,baseline,1,2,0.5
9,3,related,1,2,0.5
9,4,repeated,0,1,0
9,4,related,1,1,1
9,5,repeated,0,1,0
9,5,related,1,1,1
9,6,baseline,0,4,0
9,6,repeated,4,4,1
9,7,baseline,1,1,1
9,7,baseline-foil,0,1,0
9,8,baseline,0,1,0
9,8,baseline-foil,1,1,1
9,9,short,2,4,0.5
9,9,short-foil,2,4,0.5
9,10,single,3,6,0.5
9,10,single-foil,3,6,0.5
9,11,baseline-foil,2,4,0.5
9,11,short-foil,2,4,0.5
9,12,baseline,1,4,0.25
9,12,short,3,4,0.75
9,13,baseline,2,4,0.5
9,13,single,2,4,0.5
10,1,related-late,1,3,0.333
10,1,related-early,2,3,0.667
10,2,baseline,2,2,1
10,2,related,0,2,0
10,3,baseline,0,2,0
10,3,related,2,2,1
10,4,repeated,1,1,1
10,4,related,0,1,0
10,5,repeated,0,1,0
10,5,related,1,1,1
10,6,baseline,2,4,0.5
10,6,repeated,2,4,0.5
10,7,baseline,0,1,0
10,7,baseline-foil,1,1,1
10,8,baseline,0,1,0
10,8,baseline-foil,1,1,1
10,9,short,4,4,1
10,9,short-foil,0,4,0
10,10,single,2,6,0.333
10,10,single-foil,4,6,0.667
10,11,baseline-foil,2,4,0.5
10,11,short-foil,2,4,0.5
10,12,baseline,3,4,0.75
10,12,short,1,4,0.25
10,13,baseline,2,4,0.5
10,13,single,2,4,0.5
11,1,related-late,3,3,1
11,1,related-early,0,3,0
11,2,baseline,0,2,0
11,2,related,2,2,1
11,3,baseline,1,2,0.5
11,3,related,1,2,0.5
11,4,repeated,0,1,0
11,4,related,1,1,1
11,5,repeated,1,1,1
11,5,related,0,1,0
11,6,baseline,2,4,0.5
11,6,repeated,2,4,0.5
11,7,baseline,1,1,1
11,7,baseline-foil,0,1,0
11,8,baseline,1,1,1
11,8,baseline-foil,0,1,0
11,9,short,4,4,1
11,9,short-foil,0,4,0
11,10,single,6,6,1
11,10,single-foil,0,6,0
11,11,baseline-foil,1,4,0.25
11,11,short-foil,3,4,0.75
11,12,baseline,2,4,0.5
11,12,short,2,4,0.5
11,13,baseline,0,4,0
11,13,single,4,4,1
12,1,related-late,2,3,0.667
12,1,related-early,1,3,0.333
12,2,baseline,1,2,0.5
12,2,related,1,2,0.5
12,3,baseline,0,2,0
12,3,related,2,2,1
12,4,repeated,0,1,0
12,4,related,1,1,1
12,5,repeated,1,1,1
12,5,related,0,1,0
12,6,baseline,1,4,0.25
12,6,repeated,3,4,0.75
12,7,baseline,0,1,0
12,7,baseline-foil,1,1,1
12,8,baseline,1,1,1
12,8,baseline-foil,0,1,0
12,9,short,4,4,1
12,9,short-foil,0,4,0
12,10,single,4,6,0.667
12,10,single-foil,2,6,0.333
12,11,baseline-foil,2,4,0.5
12,11,short-foil,2,4,0.5
12,12,baseline,1,4,0.25
12,12,short,3,4,0.75
12,13,baseline,1,4,0.25
12,13,single,3,4,0.75
15,1,related-late,1,3,0.333
15,1,related-early,2,3,0.667
15,2,baseline,0,2,0
15,2,related,2,2,1
15,3,baseline,0,2,0
15,3,related,2,2,1
15,4,repeated,1,1,1
15,4,related,0,1,0
15,5,repeated,1,1,1
15,5,related,0,1,0
15,6,baseline,1,4,0.25
15,6,repeated,3,4,0.75
15,7,baseline,0,1,0
15,7,baseline-foil,1,1,1
15,8,baseline,1,1,1
15,8,baseline-foil,0,1,0
15,9,short,4,4,1
15,9,short-foil,0,4,0
15,10,single,2,6,0.333
15,10,single-foil,4,6,0.667
15,11,baseline-foil,4,4,1
15,11,short-foil,0,4,0
15,12,baseline,4,4,1
15,12,short,0,4,0
15,13,baseline,3,4,0.75
15,13,single,1,4,0.25
16,1,related-late,3,3,1
16,1,related-early,0,3,0
16,2,baseline,1,2,0.5
16,2,related,1,2,0.5
16,3,baseline,1,2,0.5
16,3,related,1,2,0.5
16,4,repeated,0,1,0
16,4,related,1,1,1
16,5,repeated,0,1,0
16,5,related,1,1,1
16,6,baseline,3,4,0.75
16,6,repeated,1,4,0.25
16,7,baseline,0,1,0
16,7,baseline-foil,1,1,1
16,8,baseline,1,1,1
16,8,baseline-foil,0,1,0
16,9,short,3,4,0.75
16,9,short-foil,1,4,0.25
16,10,single,3,6,0.5
16,10,single-foil,3,6,0.5
16,11,baseline-foil,3,4,0.75
16,11,short-foil,1,4,0.25
16,12,baseline,3,4,0.75
16,12,short,1,4,0.25
16,13,baseline,3,4,0.75
16,13,single,1,4,0.25
18,1,related-late,1,3,0.333
18,1,related-early,2,3,0.667
18,2,baseline,0,2,0
18,2,related,2,2,1
18,3,baseline,1,2,0.5
18,3,related,1,2,0.5
18,4,repeated,0,1,0
18,4,related,1,1,1
18,5,repeated,1,1,1
18,5,related,0,1,0
18,6,baseline,0,4,0
18,6,repeated,4,4,1
18,7,baseline,1,1,1
18,7,baseline-foil,0,1,0
18,8,baseline,0,1,0
18,8,baseline-foil,1,1,1
18,9,short,3,4,0.75
18,9,short-foil,1,4,0.25
18,10,single,4,6,0.667
18,10,single-foil,2,6,0.333
18,11,baseline-foil,4,4,1
18,11,short-foil,0,4,0
18,12,baseline,3,4,0.75
18,12,short,1,4,0.25
18,13,baseline,3,4,0.75
18,13,single,1,4,0.25
19,1,related-late,3,3,1
19,1,related-early,0,3,0
19,2,baseline,1,2,0.5
19,2,related,1,2,0.5
19,3,baseline,0,2,0
19,3,related,2,2,1
19,4,repeated,0,1,0
19,4,related,1,1,1
19,5,repeated,1,1,1
19,5,related,0,1,0
19,6,baseline,4,4,1
19,6,repeated,0,4,0
19,7,baseline,0,1,0
19,7,baseline-foil,1,1,1
19,8,baseline,1,1,1
19,8,baseline-foil,0,1,0
19,9,short,3,4,0.75
19,9,short-foil,1,4,0.25
19,10,single,5,6,0.833
19,10,single-foil,1,6,0.167
19,11,baseline-foil,3,4,0.75
19,11,short-foil,1,4,0.25
19,12,baseline,2,4,0.5
19,12,short,2,4,0.5
19,13,baseline,4,4,1
19,13,single,0,4,0
