trial,response,item,n,mean,sem
1,related-early,related-early,1,0.470709459,0.02369862
1,related-late,related-late,2,0.529290541,0.02369862
2,baseline,long,2,0.425675676,0.029304019
2,related,related,1,0.574324324,0.029304019
3,baseline,long,2,0.415540541,0.028518497
3,related,related,1,0.584459459,0.028518497
4,related,related,2,0.331081081,0.038814612
4,repeated,repeated,1,0.668918919,0.038814612
5,related,related,2,0.344594595,0.039196796
5,repeated,repeated,1,0.655405405,0.039196796
6,baseline,long,2,0.337837838,0.019600379
6,repeated,repeated,1,0.662162162,0.019600379
7,baseline,long,1,0.722972973,0.036911648
7,baseline-foil,long-foil,2,0.277027027,0.036911648
8,baseline,long,1,0.695945946,0.037940625
8,baseline-foil,long-foil,2,0.304054054,0.037940625
9,short,short,1,0.766891892,0.018201658
9,short-foil,short-foil,2,0.233108108,0.018201658
10,single,single,1,0.820891892,0.01558117
10,single-foil,single-foil,2,0.179108108,0.01558117
11,baseline-foil,long-foil,1,0.552364865,0.023147163
11,short-foil,short-foil,2,0.447635135,0.023147163
12,baseline,long,2,0.484797297,0.023019347
12,short,short,1,0.515202703,0.023019347
13,baseline,long,2,0.391891892,0.021989934
13,single,single,1,0.608108108,0.021989934
