subj,trial,response_item,prob
1,1,related-early,0.6666666666666666
1,1,related-late,0.3333333333333333
1,2,long-early,1
1,2,related-early,0
1,3,long-late,0
1,3,related-late,1
1,4,related-early,0
1,4,repeated,1
1,5,related-late,1
1,5,repeated,0
1,6,long,0.5
1,6,repeated,0.5
1,7,long-foil,0.16666666666666666
1,7,related-foil,0.8333333333333334
1,8,short,0.5
1,8,short-foil,0.5
1,9,long-early,0.4
1,9,long-late,0.6
1,10,related,0.6666666666666666
1,10,related-foil,0.3333333333333333
1,11,long,0.6
1,11,long-foil,0.4
1,12,single,0.8
1,12,single-foil,0.2
2,1,related-early,1
2,1,related-late,0
2,2,long-early,0
2,2,related-early,1
2,3,long-late,0
2,3,related-late,1
2,4,related-early,0
2,4,repeated,1
2,5,related-late,1
2,5,repeated,0
2,6,long,0
2,6,repeated,1
2,7,long-foil,0.16666666666666666
2,7,related-foil,0.8333333333333334
2,8,short,0.75
2,8,short-foil,0.25
2,9,long-early,0.6
2,9,long-late,0.4
2,10,related,0.6666666666666666
2,10,related-foil,0.3333333333333333
2,11,long,0.2
2,11,long-foil,0.8
2,12,single,0.9
2,12,single-foil,0.1
3,1,related-early,0.6666666666666666
3,1,related-late,0.3333333333333333
3,2,long-early,1
3,2,related-early,0
3,3,long-late,0.5
3,3,related-late,0.5
3,4,related-early,0
3,4,repeated,1
3,5,related-late,1
3,5,repeated,0
3,6,long,0.5
3,6,repeated,0.5
3,7,long-foil,0.3333333333333333
3,7,related-foil,0.6666666666666666
3,8,short,0.75
3,8,short-foil,0.25
3,9,long-early,0.4
3,9,long-late,0.6
3,10,related,0.5
3,10,related-foil,0.5
3,11,long,0.6
3,11,long-foil,0.4
3,12,single,0.9
3,12,single-foil,0.1
4,1,related-early,0.3333333333333333
4,1,related-late,0.6666666666666666
4,2,long-early,1
4,2,related-early,0
4,3,long-late,0.5
4,3,related-late,0.5
4,4,related-early,0
4,4,repeated,1
4,5,related-late,1
4,5,repeated,0
4,6,long,0.25
4,6,repeated,0.75
4,7,long-foil,1
4,7,related-foil,0
4,8,short,0.75
4,8,short-foil,0.25
4,9,long-early,0.4
4,9,long-late,0.6
4,10,related,0.5
4,10,related-foil,0.5
4,11,long,0.4
4,11,long-foil,0.6
4,12,single,0.7
4,12,single-foil,0.3
5,1,related-early,0.6666666666666666
5,1,related-late,0.3333333333333333
5,2,long-early,0.5
5,2,related-early,0.5
5,3,long-late,0
5,3,related-late,1
5,4,related-early,0
5,4,repeated,1
5,5,related-late,0
5,5,repeated,1
5,6,long,0.25
5,6,repeated,0.75
5,7,long-foil,0.5
5,7,related-foil,0.5
5,8,short,1
5,8,short-foil,0
5,9,long-early,0.2
5,9,long-late,0.8
5,10,related,1
5,10,related-foil,0
5,11,long,1
5,11,long-foil,0
5,12,single,1
5,12,single-foil,0
6,1,related-early,1
6,1,related-late,0
6,2,long-early,0.5
6,2,related-early,0.5
6,3,long-late,1
6,3,related-late,0
6,4,related-early,1
6,4,repeated,0
6,5,related-late,0
6,5,repeated,1
6,6,long,0.25
6,6,repeated,0.75
6,7,long-foil,0.6666666666666666
6,7,related-foil,0.3333333333333333
6,8,short,0.5
6,8,short-foil,0.5
6,9,long-early,0.6
6,9,long-late,0.4
6,10,related,0.8333333333333334
6,10,related-foil,0.16666666666666666
6,11,long,0.4
6,11,long-foil,0.6
6,12,single,0.7
6,12,single-foil,0.3
7,1,related-early,0.3333333333333333
7,1,related-late,0.6666666666666666
7,2,long-early,1
7,2,related-early,0
7,3,long-late,0
7,3,related-late,1
7,4,related-early,1
7,4,repeated,0
7,5,related-late,0
7,5,repeated,1
7,6,long,0.25
7,6,repeated,0.75
7,7,long-foil,0.5
7,7,related-foil,0.5
7,8,short,0.75
7,8,short-foil,0.25
7,9,long-early,0.6
7,9,long-late,0.4
7,10,related,1
7,10,related-foil,0
7,11,long,0.8
7,11,long-foil,0.2
7,12,single,1
7,12,single-foil,0
8,1,related-early,0.3333333333333333
8,1,related-late,0.6666666666666666
8,2,long-early,1
8,2,related-early,0
8,3,long-late,0
8,3,related-late,1
8,4,related-early,1
8,4,repeated,0
8,5,related-late,0
8,5,repeated,1
8,6,long,0.25
8,6,repeated,0.75
8,7,long-foil,0.5
8,7,related-foil,0.5
8,8,short,0.75
8,8,short-foil,0.25
8,9,long-early,0.6
8,9,long-late,0.4
8,10,related,1
8,10,related-foil,0
8,11,long,0.8
8,11,long-foil,0.2
8,12,single,1
8,12,single-foil,0
9,1,related-early,0.3333333333333333
9,1,related-late,0.6666666666666666
9,2,long-early,0.5
9,2,related-early,0.5
9,3,long-late,0.5
9,3,related-late,0.5
9,4,related-early,0
9,4,repeated,1
9,5,related-late,0
9,5,repeated,1
9,6,long,0.25
9,6,repeated,0.75
9,7,long-foil,0.3333333333333333
9,7,related-foil,0.6666666666666666
9,8,short,0.875
9,8,short-foil,0.125
9,9,long-early,0.4
9,9,long-late,0.6
9,10,related,1
9,10,related-foil,0
9,11,long,1
9,11,long-foil,0
9,12,single,0.9
9,12,single-foil,0.1
10,1,related-early,0.6666666666666666
10,1,related-late,0.3333333333333333
10,2,long-early,0.5
10,2,related-early,0.5
10,3,long-late,0
10,3,related-late,1
10,4,related-early,0
10,4,repeated,1
10,5,related-late,0
10,5,repeated,1
10,6,long,0
10,6,repeated,1
10,7,long-foil,0.5
10,7,related-foil,0.5
10,8,short,0.875
10,8,short-foil,0.125
10,9,long-early,0.8
10,9,long-late,0.2
10,10,related,0.8333333333333334
10,10,related-foil,0.16666666666666666
10,11,long,1
10,11,long-foil,0
10,12,single,0.8
10,12,single-foil,0.2
11,1,related-early,0.6666666666666666
11,1,related-late,0.3333333333333333
11,2,long-early,1
11,2,related-early,0
11,3,long-late,0.5
11,3,related-late,0.5
11,4,related-early,0
11,4,repeated,1
