subj,condition,trial,stimulus,count,proportion
2,study,1.1,prac,2,1
2,study,1.1,related,0,0
2,study,1.2,A-end,3,1
2,study,1.2,A-start,0,0
2,study,2.1,long,1,0.5
2,study,2.1,long-foil,1,0.5
2,study,2.2,short,4,1
2,study,2.2,short-foil,0,0
2,study,2.3,long-list,2,0.5
2,study,2.3,short-list,2,0.5
2,study,2.4,long-foil,3,0.75
2,study,2.4,short-foil,1,0.25
2,study,3.1,prac,4,1
2,study,3.1,baseline,0,0
2,study,3.2,baseline,1,0.5
2,study,3.2,related,1,0.5
2,study,3.3,baseline,1,0.5
2,study,3.3,related,1,0.5
2,study,4,single,2,0.333333333
2,study,4,single-foil,4,0.666666667
2,study,5,buffer,5,1
2,study,5,buffer-foil,0,0
2,study,6.1,long,3,0.75
2,study,6.1,single,1,0.25
2,study,6.2,long,9,0.9
2,study,6.2,long-foil,1,0.1
3,study,1.1,prac,1,0.5
3,study,1.1,related,1,0.5
3,study,1.2,A-end,2,0.666666667
3,study,1.2,A-start,1,0.333333333
3,study,2.1,long-foil,2,1
3,study,2.1,long,0,0
3,study,2.2,short,3,0.75
3,study,2.2,short-foil,1,0.25
3,study,2.3,long-list,1,0.25
3,study,2.3,short-list,3,0.75
3,study,2.4,short-foil,4,1
3,study,2.4,long-foil,0,0
3,study,3.1,baseline,2,0.5
3,study,3.1,prac,2,0.5
3,study,3.2,baseline,2,1
3,study,3.2,related,0,0
3,study,3.3,baseline,1,0.5
3,study,3.3,related,1,0.5
3,study,4,single,6,1
3,study,4,single-foil,0,0
3,study,5,buffer,2,0.4
3,study,5,buffer-foil,3,0.6
3,study,6.1,long,2,0.5
3,study,6.1,single,2,0.5
3,study,6.2,long,6,0.6
3,study,6.2,long-foil,4,0.4
4,study,1.1,related,2,1
4,study,1.1,prac,0,0
4,study,1.2,A-end,2,0.666666667
4,study,1.2,A-start,1,0.333333333
4,study,2.1,long,2,1
4,study,2.1,long-foil,0,0
4,study,2.2,short,3,0.75
4,study,2.2,short-foil,1,0.25
4,study,2.3,long-list,4,1
4,study,2.3,short-list,0,0
4,study,2.4,long-foil,4,1
4,study,2.4,short-foil,0,0
4,study,3.1,baseline,3,0.75
4,study,3.1,prac,1,0.25
4,study,3.2,baseline,1,0.5
4,study,3.2,related,1,0.5
4,study,3.3,baseline,1,0.5
4,study,3.3,related,1,0.5
4,study,4,single,4,0.666666667
4,study,4,single-foil,2,0.333333333
4,study,5,buffer,5,1
4,study,5,buffer-foil,0,0
4,study,6.1,long,2,0.5
4,study,6.1,single,2,0.5
4,study,6.2,long,7,0.7
4,study,6.2,long-foil,3,0.3
7,study,1.1,prac,2,1
7,study,1.1,related,0,0
7,study,1.2,A-end,3,1
7,study,1.2,A-start,0,0
7,study,2.1,long,2,1
7,study,2.1,long-foil,0,0
7,study,2.2,short,4,1
7,study,2.2,short-foil,0,0
7,study,2.3,long-list,1,0.25
7,study,2.3,short-list,3,0.75
7,study,2.4,long-foil,2,0.5
7,study,2.4,short-foil,2,0.5
7,study,3.1,baseline,1,0.25
7,study,3.1,prac,3,0.75
7,study,3.2,related,2,1
7,study,3.2,baseline,0,0
7,study,3.3,related,2,1
7,study,3.3,baseline,0,0
7,study,4,single,6,1
7,study,4,single-foil,0,0
7,study,5,buffer,4,0.8
7,study,5,buffer-foil,1,0.2
7,study,6.1,long,3,0.75
7,study,6.1,single,1,0.25
7,study,6.2,long,9,0.9
7,study,6.2,long-foil,1,0.1
8,study,1.1,prac,1,0.5
8,study,1.1,related,1,0.5
8,study,1.2,A-end,3,1
8,study,1.2,A-start,0,0
8,study,2.1,long,1,0.5
8,study,2.1,long-foil,1,0.5
8,study,2.2,short,3,0.75
8,study,2.2,short-foil,1,0.25
8,study,2.3,long-list,2,0.5
8,study,2.3,short-list,2,0.5
8,study,2.4,long-foil,3,0.75
8,study,2.4,short-foil,1,0.25
8,study,3.1,baseline,2,0.5
8,study,3.1,prac,2,0.5
8,study,3.2,related,2,1
8,study,3.2,baseline,0,0
8,study,3.3,baseline,1,0.5
8,study,3.3,related,1,0.5
8,study,4,single,6,1
8,study,4,single-foil,0,0
8,study,5,buffer,4,0.8
8,study,5,buffer-foil,1,0.2
8,study,6.1,long,3,0.75
8,study,6.1,single,1,0.25
8,study,6.2,long,8,0.8
8,study,6.2,long-foil,2,0.2
9,study,1.1,related,2,1
9,study,1.1,prac,0,0
9,study,1.2,A-start,3,1
9,study,1.2,A-end,0,0
9,study,2.1,long,1,0.5
9,study,2.1,long-foil,1,0.5
9,study,2.2,short,2,0.5
9,study,2.2,short-foil,2,0.5
9,study,2.3,long-list,1,0.25
9,study,2.3,short-list,3,0.75
9,study,2.4,long-foil,2,0.5
9,study,2.4,short-foil,2,0.5
9,study,3.1,prac,4,1
9,study,3.1,baseline,0,0
9,study,3.2,baseline,1,0.5
9,study,3.2,related,1,0.5
9,study,3.3,baseline,1,0.5
9,study,3.3,related,1,0.5
9,study,4,single,3,0.5
9,study,4,single-foil,3,0.5
9,study,5,buffer,5,1
9,study,5,buffer-foil,0,0
9,study,6.1,long,2,0.5
9,study,6.1,single,2,0.5
9,study,6.2,long,6,0.6
9,study,6.2,long-foil,4,0.4
10,study,1.1,prac,1,0.5
10,study,1.1,related,1,0.5
10,study,1.2,A-end,1,0.333333333
10,study,1.2,A-start,2,0.666666667
10,study,2.1,long-foil,2,1
10,study,2.1,long,0,0
10,study,2.2,short,4,1
10,study,2.2,short-foil,0,0
10,study,2.3,long-list,3,0.75
10,study,2.3,short-list,1,0.25
10,study,2.4,long-foil,2,0.5
10,study,2.4,short-foil,2,0.5
10,study,3.1,baseline,2,0.5
10,study,3.1,prac,2,0.5
10,study,3.2,related,2,1
10,study,3.2,baseline,0,0
10,study,3.3,baseline,2,1
10,study,3.3,related,0,0
10,study,4,single,2,0.333333333
10,study,4,single-foil,4,0.666666667
10,study,5,buffer,3,0.6
10,study,5,buffer-foil,2,0.4
10,study,6.1,long,2,0.5
10,study,6.1,single,2,0.5
10,study,6.2,long,7,0.7
10,study,6.2,long-foil,3,0.3
11,study,1.1,prac,1,0.5
11,study,1.1,related,1,0.5
11,study,1.2,A-end,3,1
11,study,1.2,A-start,0,0
11,study,2.1,long,2,1
11,study,2.1,long-foil,0,0
11,study,2.2,short,4,1
11,study,2.2,short-foil,0,0
11,study,2.3,long-list,2,0.5
11,study,2.3,short-list,2,0.5
11,study,2.4,long-foil,1,0.25
11,study,2.4,short-foil,3,0.75
11,study,3.1,baseline,2,0.5
11,study,3.1,prac,2,0.5
11,study,3.2,baseline,1,0.5
11,study,3.2,related,1,0.5
11,study,3.3,related,2,1
11,study,3.3,baseline,0,0
11,study,4,single,6,1
11,study,4,single-foil,0,0
11,study,5,buffer,5,1
11,study,5,buffer-foil,0,0
11,study,6.1,long,4,1
11,study,6.1,single,0,0
11,study,6.2,long,10,1
11,study,6.2,long-foil,0,0
12,study,1.1,prac,1,0.5
12,study,1.1,related,1,0.5
12,study,1.2,A-end,2,0.666666667
12,study,1.2,A-start,1,0.333333333
12,study,2.1,long,1,0.5
12,study,2.1,long-foil,1,0.5
12,study,2.2,short,4,1
12,study,2.2,short-foil,0,0
12,study,2.3,long-list,1,0.25
12,study,2.3,short-list,3,0.75
12,study,2.4,long-foil,2,0.5
12,study,2.4,short-foil,2,0.5
12,study,3.1,baseline,1,0.25
12,study,3.1,prac,3,0.75
12,study,3.2,related,2,1
12,study,3.2,baseline,0,0
12,study,3.3,baseline,1,0.5
12,study,3.3,related,1,0.5
12,study,4,single,4,0.666666667
12,study,4,single-foil,2,0.333333333
12,study,5,buffer,1,0.2
12,study,5,buffer-foil,4,0.8
12,study,6.1,long,1,0.25
12,study,6.1,single,3,0.75
12,study,6.2,long,7,0.7
12,study,6.2,long-foil,3,0.3
15,study,1.1,prac,2,1
15,study,1.1,related,0,0
15,study,1.2,A-end,1,0.333333333
15,study,1.2,A-start,2,0.666666667
15,study,2.1,long,1,0.5
15,study,2.1,long-foil,1,0.5
15,study,2.2,short,4,1
15,study,2.2,short-foil,0,0
15,study,2.3,long-list,4,1
15,study,2.3,short-list,0,0
15,study,2.4,long-foil,4,1
15,study,2.4,short-foil,0,0
15,study,3.1,baseline,1,0.25
15,study,3.1,prac,3,0.75
15,study,3.2,related,2,1
15,study,3.2,baseline,0,0
15,study,3.3,related,2,1
15,study,3.3,baseline,0,0
15,study,4,single,2,0.333333333
15,study,4,single-foil,4,0.666666667
15,study,5,buffer,5,1
15,study,5,buffer-foil,0,0
15,study,6.1,long,3,0.75
15,study,6.1,single,1,0.25
15,study,6.2,long,7,0.7
15,study,6.2,long-foil,3,0.3
16,study,1.1,related,2,1
16,study,1.1,prac,0,0
16,study,1.2,A-end,3,1
16,study,1.2,A-start,0,0
16,study,2.1,long,1,0.5
16,study,2.1,long-foil,1,0.5
16,study,2.2,short,3,0.75
16,study,2.2,short-foil,1,0.25
16,study,2.3,long-list,3,0.75
16,study,2.3,short-list,1,0.25
16,study,2.4,long-foil,3,0.75
16,study,2.4,short-foil,1,0.25
16,study,3.1,baseline,3,0.75
16,study,3.1,prac,1,0.25
16,study,3.2,baseline,1,0.5
16,study,3.2,related,1,0.5
16,study,3.3,baseline,1,0.5
16,study,3.3,related,1,0.5
16,study,4,single,3,0.5
16,study,4,single-foil,3,0.5
16,study,5,buffer,5,1
16,study,5,buffer-foil,0,0
16,study,6.1,long,3,0.75
16,study,6.1,single,1,0.25
16,study,6.2,long,6,0.6
16,study,6.2,long-foil,4,0.4
18,study,1.1,prac,1,0.5
18,study,1.1,related,1,0.5
18,study,1.2,A-end,1,0.333333333
18,study,1.2,A-start,2,0.666666667
18,study,2.1,long,1,0.5
18,study,2.1,long-foil,1,0.5
18,study,2.2,short,3,0.75
18,study,2.2,short-foil,1,0.25
18,study,2.3,long-list,3,0.75
18,study,2.3,short-list,1,0.25
18,study,2.4,long-foil,4,1
18,study,2.4,short-foil,0,0
18,study,3.1,prac,4,1
18,study,3.1,baseline,0,0
18,study,3.2,baseline,1,0.5
18,study,3.2,related,1,0.5
18,study,3.3,related,2,1
18,study,3.3,baseline,0,0
18,study,4,single,4,0.666666667
18,study,4,single-foil,2,0.333333333
18,study,5,buffer,5,1
18,study,5,buffer-foil,0,0
18,study,6.1,long,3,0.75
18,study,6.1,single,1,0.25
18,study,6.2,long,6,0.6
18,study,6.2,long-foil,4,0.4
19,study,1.1,prac,1,0.5
19,study,1.1,related,1,0.5
19,study,1.2,A-end,3,1
19,study,1.2,A-start,0,0
19,study,2.1,long,1,0.5
19,study,2.1,long-foil,1,0.5
19,study,2.2,short,3,0.75
19,study,2.2,short-foil,1,0.25
19,study,2.3,long-list,2,0.5
19,study,2.3,short-list,2,0.5
19,study,2.4,long-foil,3,0.75
19,study,2.4,short-foil,1,0.25
19,study,3.1,baseline,4,1
19,study,3.1,prac,0,0
19,study,3.2,related,2,1
19,study,3.2,baseline,0,0
19,study,3.3,baseline,1,0.5
19,study,3.3,related,1,0.5
19,study,4,single,5,0.833333333
19,study,4,single-foil,1,0.166666667
19,study,5,buffer,3,0.6
19,study,5,buffer-foil,2,0.4
19,study,6.1,long,4,1
19,study,6.1,single,0,0
19,study,6.2,long,4,0.4
19,study,6.2,long-foil,6,0.6
20,study,1.1,prac,1,0.5
20,study,1.1,related,1,0.5
20,study,1.2,A-end,2,0.666666667
20,study,1.2,A-start,1,0.333333333
20,study,2.1,long-foil,2,1
20,study,2.1,long,0,0
